Case,Activity,Timestamp,Resource
0,Check for completeness>JX62_Clerk-000001,2023-09-29 09:00:00.000000000,Clerk-000001
0,Perform checks,2023-09-29 09:00:00.000000000,Clerk-000003
0,Mke decision,2023-09-29 09:00:00.000000000,Manager-000001
0,Notify accept,2023-09-29 09:16:37.243000000,Manager-000003
0,Deliver card,2023-09-29 09:39:19.386000000,Manager-000002
1,Check for completeness,2023-09-29 09:05:24.364000000,Clerk-000002
1,Perform checks,2023-09-29 09:10:28.617000000,Clerk-000004
1,Make decision,2023-09-29 09:13:51.492000000,Manager-000002
1,Notify accept,2023-09-29 09:35:56.908000000,Manager-000005
1,Deliver card,2023-09-29 09:54:59.797000000,Manager-000004
10,Check for completeness,2023-09-29 14:47:37.938000000,Clerk-000005
10,Request info,2023-09-29 14:48:51.317000000,Manager-000002
10,info received,2023-09-29 14:54:01.063000000,
10,Check for completeness,2023-09-29 14:54:11.063000000,Clerk-000001
10,Perform checks,2023-09-29 15:12:40.802000000,Clerk-000002
10,Make decision,2023-09-29 15:21:56.123000000,Manager-000001
10,Notify accept,2023-09-29 15:22:31.725000000,Manager-000004
10,Deliver card,2023-09-29 15:23:49.967000000,Manager-000005
100,Check for completeness,2023-10-04 19:55:31.018000000,Clerk-000004
100,Perform checks,2023-10-04 20:02:10.418000000,Clerk-000001
100,Make decision,2023-10-04 20:04:14.751000000,Manager-000006
100,notify reject,2023-10-04 20:14:48.955000000,Manager-000002
100,time out,2023-10-04 20:15:17.086000000,
1000,Check for completeness,2023-11-28 05:39:07.464000000,Clerk-000001
1000,Perform checks,2023-11-28 05:47:04.358000000,Clerk-000003
1000,Make decision,2023-11-28 05:51:01.707000000,Manager-000004
1000,notify reject,2023-11-28 05:56:17.716000000,Manager-000005
1000,time out,2023-11-28 06:15:25.097000000,
1001,Check for completeness,2023-11-28 06:38:50.352000000,Clerk-000002
1001,Request info,2023-11-28 06:48:24.388000000,Manager-000006
1001,info received,2023-11-28 06:59:47.977000000,
1001,Check for completeness,2023-11-28 06:59:57.977000000,Clerk-000006
1001,Perform checks,2023-11-28 07:13:01.594000000,Clerk-000001
1001,Make decision,2023-11-28 07:13:48.752000000,Manager-000003
1001,Notify accept,2023-11-28 07:15:59.462000000,Manager-000004
1001,Deliver card,2023-11-28 07:20:22.872000000,Manager-000005
1002,Check for completeness,2023-11-28 06:40:47.148000000,Clerk-000004
1002,Perform checks,2023-11-28 06:54:12.461000000,Clerk-000005
1002,Make decision,2023-11-28 06:54:23.712000000,Manager-000002
1002,notify reject,2023-11-28 06:55:51.615000000,Manager-000001
1002,time out,2023-11-28 07:24:02.232000000,
1003,Check for completeness,2023-11-28 07:33:25.575000000,Clerk-000003
1003,Request info,2023-11-28 07:36:50.795000000,Manager-000002
1003,info received,2023-11-28 07:44:06.321000000,
1003,Verification process,2023-11-28 07:44:06.321000000,Clerk-000002
1003,Request info,2023-11-28 07:44:06.321000000,Manager-000006
1003,info received,2023-11-28 08:01:51.128000000,
1003,Check for completeness>ECXs.20231128,2023-11-28 08:02:01.128000000,Clerk-000004
1003,Verification process,2023-11-28 08:05:45.775000000,Clerk-000005
1003,Make decision,2023-11-28 08:42:57.111000000,Manager-000003
1003,notify reject__Manager-000004,2023-11-28 08:51:48.686000000,Manager-000004
1003,time out--nan,2023-11-28 08:57:01.184000000,
1004,Check for completeness,2023-11-28 11:54:14.101000000,Clerk-000006
1004,Perform checks,2023-11-28 11:56:28.698000000,Clerk-000001
1004,Make decision,2023-11-28 12:02:48.847000000,Manager-000005
1004,Notify accept,2023-11-28 12:12:52.168000000,Manager-000001
1004,Deliver card,2023-11-28 12:16:02.873000000,Manager-000002
