Case,Activity,Timestamp,Resource
0,Take order,2024-05-06 18:00:00.000000000,Waiter-000001
0,Review order,2024-05-06 18:00:26.397000000,Waiter-000002
0,Prepare main course,2024-05-06 18:01:29.727000000,Cook-000001
0,Drink handling,2024-05-06 18:01:32.727000000,Barman-000001
0,Signal food complete,2024-05-06 18:08:55.574000000,Cook-000002
0,Drink handling,2024-05-06 18:10:35.746000000,Barman-000002
0,Drink handling,2024-05-06 18:13:26.601000000,Waiter-000003
0,Bring food,2024-05-06 18:17:06.274000000,Cook helper-000001
0,Dleiver to customer,2024-05-06 18:28:15.901000000,Waiter-000001
1,Take order,2024-05-06 18:15:00.000000000,Waiter-000004
1,Review order,2024-05-06 18:21:16.885000000,Waiter-000005
1,Prepare main course,2024-05-06 18:21:21.290000000,Cook-000003
1,prepare drinks,2024-05-06 18:21:24.290000000,Barman-000003
1,Signal food complete,2024-05-06 18:28:22.423000000,Cook-000001
1,Bring food,2024-05-06 18:32:39.040000000,Cook helper-000002
1,Bring drinks,2024-05-06 18:37:42.138000000,Barman-000001
1,Review drinks,2024-05-06 18:38:19.504000000,Waiter-000004
1,Deliver to customer,2024-05-06 18:41:38.777000000,Waiter-000001
10,Take order,2024-05-06 20:30:00.000000000,Waiter-000004
10,Review order,2024-05-06 20:31:21.530000000,Waiter-000005
10,prepare drinks,2024-05-06 20:32:14.910000000,Barman-000002
10,Bring drinks,2024-05-06 20:33:38.935000000,Barman-000001
10,Review drinks,2024-05-06 20:38:13.994000000,Waiter-000003
10,prepare drinks,2024-05-06 20:40:27.120000000,Barman-000003
10,Bring drinks,2024-05-06 20:53:19.368000000,Barman-000001
10,Prepare main course,2024-05-06 20:54:48.925000000,Cook-000002
10,Review drinks,2024-05-06 21:02:35.065000000,Waiter-000004
10,Signal food complete,2024-05-06 21:04:57.209000000,Cook-000003
10,Bring food,2024-05-06 21:08:26.519000000,Cook helper-000001
10,Deliver to customer,2024-05-06 21:15:44.921000000,Waiter-000002
100,Take order,2024-05-09 19:00:00.000000000,Waiter-000001
100,Review order,2024-05-09 19:00:52.494000000,Waiter-000002
100,prepare drinks,2024-05-09 19:01:16.398000000,Barman-000001
100,Bring drinks,2024-05-09 19:15:27.885000000,Barman-000002
100,Review drinks,2024-05-09 19:16:23.796000000,Waiter-000002
100,Prepare main course,2024-05-09 19:24:58.507000000,Cook-000003
100,Signal food complete,2024-05-09 19:40:32.263000000,Cook-000002
100,Bring food,2024-05-09 19:58:40.881000000,Cook helper-000003
100,Deliver to customer,2024-05-09 20:04:32.605000000,Waiter-000002
1000,Take order,2024-06-18 20:00:00.000000000,Waiter-000001
1000,Review order,2024-06-18 20:00:04.480000000,Waiter-000002
1000,Prepare starter,2024-06-18 20:00:37.339000000,Cook helper-000003
1000,prepare drinks,2024-06-18 20:00:42.339000000,Barman-000001
1000,Bring drinks,2024-06-18 20:05:52.072000000,Barman-000003
1000,Review drinks,2024-06-18 20:11:27.549000000,Waiter-000005
1000,Prepare main course,2024-06-20 00:03:36.625000000,Cook-000002
1000,Signal food complete,2024-06-22 00:32:53.095000000,Cook-000002
1000,Bring food,2024-06-22 01:29:39.856000000,Cook helper-000003
1000,Deliver to customer,2024-06-22 01:31:29.942000000,Waiter-000001
