Case,Activity,Timestamp,Resource,error_detected,detected_error_types
0,Check for completeness>JX62_Clerk-000001,2023-09-29 09:00:00.000000000,Clerk-000001,True,form-based|polluted|distorted|synonymous
0,Perform checks,2023-09-29 09:00:00.000000000,Clerk-000003,True,form-based
0,Mke decision,2023-09-29 09:00:00.000000000,Manager-000001,True,form-based|distorted
0,Notify accept,2023-09-29 09:16:37.243000000,Manager-000003,True,synonymous
0,Deliver card,2023-09-29 09:39:19.386000000,Manager-000002,False,
1,Check for completeness,2023-09-29 09:05:24.364000000,Clerk-000002,False,
1,Perform checks,2023-09-29 09:10:28.617000000,Clerk-000004,False,
1,Make decision,2023-09-29 09:13:51.492000000,Manager-000002,False,
1,Notify accept,2023-09-29 09:35:56.908000000,Manager-000005,True,synonymous
1,Deliver card,2023-09-29 09:54:59.797000000,Manager-000004,False,
10,Check for completeness,2023-09-29 14:47:37.938000000,Clerk-000005,False,
10,Request info,2023-09-29 14:48:51.317000000,Manager-000002,False,
10,info received,2023-09-29 14:54:01.063000000,,False,
10,Check for completeness,2023-09-29 14:54:11.063000000,Clerk-000001,False,
10,Perform checks,2023-09-29 15:12:40.802000000,Clerk-000002,False,
10,Make decision,2023-09-29 15:21:56.123000000,Manager-000001,False,
10,Notify accept,2023-09-29 15:22:31.725000000,Manager-000004,True,synonymous
10,Deliver card,2023-09-29 15:23:49.967000000,Manager-000005,False,
100,Check for completeness,2023-10-04 19:55:31.018000000,Clerk-000004,False,
100,Perform checks,2023-10-04 20:02:10.418000000,Clerk-000001,False,
100,Make decision,2023-10-04 20:04:14.751000000,Manager-000006,False,
100,notify reject,2023-10-04 20:14:48.955000000,Manager-000002,False,
100,time out,2023-10-04 20:15:17.086000000,,False,
1000,Check for completeness,2023-11-28 05:39:07.464000000,Clerk-000001,False,
1000,Perform checks,2023-11-28 05:47:04.358000000,Clerk-000003,False,
1000,Make decision,2023-11-28 05:51:01.707000000,Manager-000004,False,
1000,notify reject,2023-11-28 05:56:17.716000000,Manager-000005,False,
1000,time out,2023-11-28 06:15:25.097000000,,False,
1001,Check for completeness,2023-11-28 06:38:50.352000000,Clerk-000002,False,
1001,Request info,2023-11-28 06:48:24.388000000,Manager-000006,False,
1001,info received,2023-11-28 06:59:47.977000000,,False,
1001,Check for completeness,2023-11-28 06:59:57.977000000,Clerk-000006,False,
1001,Perform checks,2023-11-28 07:13:01.594000000,Clerk-000001,False,
1001,Make decision,2023-11-28 07:13:48.752000000,Manager-000003,False,
1001,Notify accept,2023-11-28 07:15:59.462000000,Manager-000004,True,synonymous
1001,Deliver card,2023-11-28 07:20:22.872000000,Manager-000005,False,
1002,Check for completeness,2023-11-28 06:40:47.148000000,Clerk-000004,False,
1002,Perform checks,2023-11-28 06:54:12.461000000,Clerk-000005,False,
1002,Make decision,2023-11-28 06:54:23.712000000,Manager-000002,False,
1002,notify reject,2023-11-28 06:55:51.615000000,Manager-000001,False,
1002,time out,2023-11-28 07:24:02.232000000,,False,
1003,Check for completeness,2023-11-28 07:33:25.575000000,Clerk-000003,False,
1003,Request info,2023-11-28 07:36:50.795000000,Manager-000002,True,homonymous
1003,info received,2023-11-28 07:44:06.321000000,,True,form-based
1003,Verification process,2023-11-28 07:44:06.321000000,Clerk-000002,True,form-based|homonymous
1003,Request info,2023-11-28 07:44:06.321000000,Manager-000006,True,form-based|homonymous
1003,info received,2023-11-28 08:01:51.128000000,,False,
1003,Check for completeness>ECXs.20231128,2023-11-28 08:02:01.128000000,Clerk-000004,True,polluted
1003,Verification process,2023-11-28 08:05:45.775000000,Clerk-000005,True,homonymous
1003,Make decision,2023-11-28 08:42:57.111000000,Manager-000003,False,
1003,notify reject__Manager-000004,2023-11-28 08:51:48.686000000,Manager-000004,True,polluted|synonymous
1003,time out--nan,2023-11-28 08:57:01.184000000,,True,distorted|synonymous
1004,Check for completeness,2023-11-28 11:54:14.101000000,Clerk-000006,False,
1004,Perform checks,2023-11-28 11:56:28.698000000,Clerk-000001,False,
1004,Make decision,2023-11-28 12:02:48.847000000,Manager-000005,False,
1004,Notify accept,2023-11-28 12:12:52.168000000,Manager-000001,True,synonymous
1004,Deliver card,2023-11-28 12:16:02.873000000,Manager-000002,False,
1005,Check for completeness.67rgGrQ:Clerk-000003,2023-11-28 12:19:05.489000000,Clerk-000003,True,polluted
1005,Perform checks,2023-11-28 12:28:30.645000000,Clerk-000004,True,collateral
1005,Perform checks_1,2023-11-28 12:28:31.578411665,Clerk-000004,True,distorted|collateral
1005,Perform checks_2,2023-11-28 12:28:31.626346000,Clerk-000004,True,distorted|synonymous|collateral
1005,Make decision_-Manager-000004,2023-11-28 12:47:36.032000000,Manager-000004,True,polluted
1005,notify reject,2023-11-28 12:53:52.492000000,Manager-000001,False,
1005,time out-709>nan,2023-11-28 13:09:23.256000000,,True,synonymous
1006,Verification process,2023-11-28 12:24:04.037000000,Clerk-000002,False,
1006,Verification process,2023-11-28 12:31:15.886000000,Clerk-000005,False,
1006,Make decision,2023-11-28 12:41:07.514000000,Manager-000006,False,
1006,Notify accept,2023-11-28 12:45:02.178000000,Manager-000003,True,synonymous|collateral
1006,Notify accept_1,2023-11-28 12:45:02.391651166,Manager-000003,True,distorted|synonymous|collateral
1006,Notify accept_2,2023-11-28 12:45:03.694100970,Manager-000003,True,distorted|synonymous|collateral
1006,Deliver card,2023-11-28 12:50:34.615000000,Manager-000005,False,
1007,Check for completeness,2023-11-28 13:13:47.278000000,Clerk-000006,False,
1007,Request info,2023-11-28 13:25:40.163000000,Manager-000002,False,
1007,info received,2023-11-28 13:29:40.731000000,,False,
1007,Check for completeness,2023-11-28 13:29:50.731000000,Clerk-000001,False,
1007,Request info,2023-11-28 13:33:35.598000000,Manager-000006,False,
1007,info received,2023-11-28 13:35:08.608000000,,False,
1007,Check for completeness,2023-11-28 13:35:18.608000000,Clerk-000003,False,
1007,Perform checks,2023-11-28 13:35:50.064000000,Clerk-000002,False,
1007,Make decision,2023-11-28 14:15:36.573000000,Manager-000004,False,
1007,Notify accept,2023-11-28 14:40:05.979000000,Manager-000003,True,synonymous
1007,Deliver card,2023-11-28 14:44:06.045000000,Manager-000001,False,
